District code,State name,District name,Population
1,JAMMU AND KASHMIR,Kupwara,870354
2,JAMMU AND KASHMIR,Badgam,753745
3,JAMMU AND KASHMIR,Leh(Ladakh),133487
4,JAMMU AND KASHMIR,Kargil,140802
5,JAMMU AND KASHMIR,Punch,476835
6,JAMMU AND KASHMIR,Rajouri,642415
7,JAMMU AND KASHMIR,Kathua,616435
8,JAMMU AND KASHMIR,Baramula,1008039
9,JAMMU AND KASHMIR,Bandipore,392232
10,JAMMU AND KASHMIR,Srinagar,1236829
11,JAMMU AND KASHMIR,Ganderbal,297446
12,JAMMU AND KASHMIR,Pulwama,560440
13,JAMMU AND KASHMIR,Shupiyan,266215
14,JAMMU AND KASHMIR,Anantnag,1078692
15,JAMMU AND KASHMIR,Kulgam,424483
16,JAMMU AND KASHMIR,Doda,409936
17,JAMMU AND KASHMIR,Ramban,283713
18,JAMMU AND KASHMIR,Kishtwar,230696
19,JAMMU AND KASHMIR,Udhampur,554985
20,JAMMU AND KASHMIR,Reasi,314667
21,JAMMU AND KASHMIR,Jammu,1529958
22,JAMMU AND KASHMIR,Samba,318898
23,HIMACHAL PRADESH,Chamba,519080
24,HIMACHAL PRADESH,Kangra,1510075
25,HIMACHAL PRADESH,Lahul AND Spiti,31564
26,HIMACHAL PRADESH,Kullu,437903
27,HIMACHAL PRADESH,Mandi,999777
28,HIMACHAL PRADESH,Hamirpur,454768
29,HIMACHAL PRADESH,Una,521173
30,HIMACHAL PRADESH,Bilaspur,381956
31,HIMACHAL PRADESH,Solan,580320
32,HIMACHAL PRADESH,Sirmaur,529855
33,HIMACHAL PRADESH,Shimla,814010
34,HIMACHAL PRADESH,Kinnaur,84121
35,PUNJAB,Gurdaspur,2298323
36,PUNJAB,Kapurthala,815168
37,PUNJAB,Jalandhar,2193590
38,PUNJAB,Hoshiarpur,1586625
39,PUNJAB,Shahid Bhagat Singh Nagar,612310
40,PUNJAB,Fatehgarh Sahib,600163
41,PUNJAB,Ludhiana,3498739
42,PUNJAB,Moga,995746
43,PUNJAB,Firozpur,2029074
44,PUNJAB,Muktsar,901896
45,PUNJAB,Faridkot,617508
46,PUNJAB,Bathinda,1388525
47,PUNJAB,Mansa,769751
48,PUNJAB,Patiala,1895686
49,PUNJAB,Amritsar,2490656
50,PUNJAB,Tarn Taran,1119627
51,PUNJAB,Rupnagar,684627
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628
53,PUNJAB,Sangrur,1655169
54,PUNJAB,Barnala,595527
55,CHANDIGARH,Chandigarh,1055450
56,UTTARAKHAND,Uttarkashi,330086
57,UTTARAKHAND,Chamoli,391605
58,UTTARAKHAND,Rudraprayag,242285
59,UTTARAKHAND,Tehri Garhwal,618931
60,UTTARAKHAND,Dehradun,1696694
61,UTTARAKHAND,Garhwal,687271
62,UTTARAKHAND,Pithoragarh,483439
63,UTTARAKHAND,Bageshwar,259898
64,UTTARAKHAND,Almora,622506
65,UTTARAKHAND,Champawat,259648
66,UTTARAKHAND,Nainital,954605
67,UTTARAKHAND,Udham Singh Nagar,1648902
68,UTTARAKHAND,Hardwar,1890422
69,HARYANA,Panchkula,561293
70,HARYANA,Ambala,1128350
71,HARYANA,Yamunanagar,1214205
72,HARYANA,Kurukshetra,964655
73,HARYANA,Kaithal,1074304
74,HARYANA,Karnal,1505324
75,HARYANA,Panipat,1205437
76,HARYANA,Sonipat,1450001
77,HARYANA,Jind,1334152
78,HARYANA,Fatehabad,942011
79,HARYANA,Sirsa,1295189
80,HARYANA,Hisar,1743931
81,HARYANA,Bhiwani,1634445
82,HARYANA,Rohtak,1061204
83,HARYANA,Jhajjar,958405
84,HARYANA,Mahendragarh,922088
85,HARYANA,Rewari,900332
86,HARYANA,Gurgaon,1514432
87,HARYANA,Mewat,1089263
88,HARYANA,Faridabad,1809733
89,HARYANA,Palwal,1042708
90,DELHI,North West,3656539
91,DELHI,North,887978
92,DELHI,North East,2241624
93,DELHI,East,1709346
94,DELHI,New Delhi,142004
95,DELHI,Central,582320
96,DELHI,West,2543243
97,DELHI,South West,2292958
98,DELHI,South,2731929
99,RAJASTHAN,Ganganagar,1969168
100,RAJASTHAN,Hanumangarh,1774692
101,RAJASTHAN,Bikaner,2363937
102,RAJASTHAN,Churu,2039547
103,RAJASTHAN,Jhunjhunun,2137045
104,RAJASTHAN,Alwar,3674179
105,RAJASTHAN,Bharatpur,2548462
106,RAJASTHAN,Dhaulpur,1206516
107,RAJASTHAN,Karauli,1458248
108,RAJASTHAN,Sawai Madhopur,1335551
109,RAJASTHAN,Dausa,1634409
110,RAJASTHAN,Jaipur,6626178
111,RAJASTHAN,Sikar,2677333
112,RAJASTHAN,Nagaur,3307743
113,RAJASTHAN,Jodhpur,3687165
114,RAJASTHAN,Jaisalmer,669919
115,RAJASTHAN,Barmer,2603751
116,RAJASTHAN,Jalor,1828730
117,RAJASTHAN,Sirohi,1036346
118,RAJASTHAN,Pali,2037573
119,RAJASTHAN,Ajmer,2583052
120,RAJASTHAN,Tonk,1421326
121,RAJASTHAN,Bundi,1110906
122,RAJASTHAN,Bhilwara,2408523
123,RAJASTHAN,Rajsamand,1156597
124,RAJASTHAN,Dungarpur,1388552
125,RAJASTHAN,Banswara,1797485
126,RAJASTHAN,Chittaurgarh,1544338
127,RAJASTHAN,Kota,1951014
128,RAJASTHAN,Baran,1222755
129,RAJASTHAN,Jhalawar,1411129
130,RAJASTHAN,Udaipur,3068420
131,RAJASTHAN,Pratapgarh,867848
132,UTTAR PRADESH,Saharanpur,3466382
133,UTTAR PRADESH,Muzaffarnagar,4143512
134,UTTAR PRADESH,Bijnor,3682713
135,UTTAR PRADESH,Moradabad,4772006
136,UTTAR PRADESH,Rampur,2335819
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221
138,UTTAR PRADESH,Meerut,3443689
139,UTTAR PRADESH,Baghpat,1303048
140,UTTAR PRADESH,Ghaziabad,4681645
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115
142,UTTAR PRADESH,Bulandshahr,3499171
143,UTTAR PRADESH,Aligarh,3673889
144,UTTAR PRADESH,Mahamaya Nagar,1564708
145,UTTAR PRADESH,Mathura,2547184
146,UTTAR PRADESH,Agra,4418797
147,UTTAR PRADESH,Firozabad,2498156
148,UTTAR PRADESH,Mainpuri,1868529
149,UTTAR PRADESH,Budaun,3681896
150,UTTAR PRADESH,Bareilly,4448359
151,UTTAR PRADESH,Pilibhit,2031007
152,UTTAR PRADESH,Shahjahanpur,3006538
153,UTTAR PRADESH,Kheri,4021243
154,UTTAR PRADESH,Sitapur,4483992
155,UTTAR PRADESH,Hardoi,4092845
156,UTTAR PRADESH,Unnao,3108367
157,UTTAR PRADESH,Lucknow,4589838
158,UTTAR PRADESH,Rae Bareli,3405559
159,UTTAR PRADESH,Farrukhabad,1885204
160,UTTAR PRADESH,Kannauj,1656616
161,UTTAR PRADESH,Etawah,1581810
162,UTTAR PRADESH,Auraiya,1379545
163,UTTAR PRADESH,Kanpur Dehat,1796184
164,UTTAR PRADESH,Kanpur Nagar,4581268
165,UTTAR PRADESH,Jalaun,1689974
166,UTTAR PRADESH,Jhansi,1998603
167,UTTAR PRADESH,Lalitpur,1221592
168,UTTAR PRADESH,Hamirpur,1104285
169,UTTAR PRADESH,Mahoba,875958
170,UTTAR PRADESH,Banda,1799410
171,UTTAR PRADESH,Chitrakoot,991730
172,UTTAR PRADESH,Fatehpur,2632733
173,UTTAR PRADESH,Pratapgarh,3209141
174,UTTAR PRADESH,Kaushambi,1599596
175,UTTAR PRADESH,Allahabad,5954391
176,UTTAR PRADESH,Bara Banki,3260699
177,UTTAR PRADESH,Faizabad,2470996
178,UTTAR PRADESH,Ambedkar Nagar,2397888
179,UTTAR PRADESH,Sultanpur,3797117
180,UTTAR PRADESH,Bahraich,3487731
181,UTTAR PRADESH,Shrawasti,1117361
182,UTTAR PRADESH,Balrampur,2148665
183,UTTAR PRADESH,Gonda,3433919
184,UTTAR PRADESH,Siddharthnagar,2559297
185,UTTAR PRADESH,Basti,2464464
186,UTTAR PRADESH,Sant Kabir Nagar,1715183
187,UTTAR PRADESH,Mahrajganj,2684703
188,UTTAR PRADESH,Gorakhpur,4440895
189,UTTAR PRADESH,Kushinagar,3564544
190,UTTAR PRADESH,Deoria,3100946
191,UTTAR PRADESH,Azamgarh,4613913
192,UTTAR PRADESH,Mau,2205968
193,UTTAR PRADESH,Ballia,3239774
194,UTTAR PRADESH,Jaunpur,4494204
195,UTTAR PRADESH,Ghazipur,3620268
196,UTTAR PRADESH,Chandauli,1952756
197,UTTAR PRADESH,Varanasi,3676841
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213
199,UTTAR PRADESH,Mirzapur,2496970
200,UTTAR PRADESH,Sonbhadra,1862559
201,UTTAR PRADESH,Etah,1774480
202,UTTAR PRADESH,Kanshiram Nagar,1436719
203,BIHAR,Pashchim Champaran,3935042
204,BIHAR,Purba Champaran,5099371
205,BIHAR,Sheohar,656246
206,BIHAR,Sitamarhi,3423574
207,BIHAR,Madhubani,4487379
208,BIHAR,Supaul,2229076
209,BIHAR,Araria,2811569
210,BIHAR,Kishanganj,1690400
211,BIHAR,Purnia,3264619
212,BIHAR,Katihar,3071029
213,BIHAR,Madhepura,2001762
214,BIHAR,Saharsa,1900661
215,BIHAR,Darbhanga,3937385
216,BIHAR,Muzaffarpur,4801062
217,BIHAR,Gopalganj,2562012
218,BIHAR,Siwan,3330464
219,BIHAR,Saran,3951862
220,BIHAR,Vaishali,3495021
221,BIHAR,Samastipur,4261566
222,BIHAR,Begusarai,2970541
223,BIHAR,Khagaria,1666886
224,BIHAR,Bhagalpur,3037766
225,BIHAR,Banka,2034763
226,BIHAR,Munger,1367765
227,BIHAR,Lakhisarai,1000912
228,BIHAR,Sheikhpura,636342
229,BIHAR,Nalanda,2877653
230,BIHAR,Patna,5838465
231,BIHAR,Bhojpur,2728407
232,BIHAR,Buxar,1706352
233,BIHAR,Kaimur (Bhabua),1626384
234,BIHAR,Rohtas,2959918
235,BIHAR,Aurangabad,2540073
236,BIHAR,Gaya,4391418
237,BIHAR,Nawada,2219146
238,BIHAR,Jamui,1760405
239,BIHAR,Jehanabad,1125313
240,BIHAR,Arwal,700843
241,SIKKIM,North  District,43709
242,SIKKIM,West District,136435
243,SIKKIM,South District,146850
244,SIKKIM,East District,283583
245,ARUNACHAL PRADESH,Tawang,49977
246,ARUNACHAL PRADESH,West Kameng,83947
247,ARUNACHAL PRADESH,East Kameng,78690
248,ARUNACHAL PRADESH,Papum Pare,176573
249,ARUNACHAL PRADESH,Upper Subansiri,83448
250,ARUNACHAL PRADESH,West Siang,112274
251,ARUNACHAL PRADESH,East Siang,99214
252,ARUNACHAL PRADESH,Upper Siang,35320
253,ARUNACHAL PRADESH,Changlang,148226
254,ARUNACHAL PRADESH,Tirap,111975
255,ARUNACHAL PRADESH,Lower Subansiri,83030
256,ARUNACHAL PRADESH,Kurung Kumey,92076
257,ARUNACHAL PRADESH,Dibang Valley,8004
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080
259,ARUNACHAL PRADESH,Lohit,145726
260,ARUNACHAL PRADESH,Anjaw,21167
261,NAGALAND,Mon,250260
262,NAGALAND,Mokokchung,194622
263,NAGALAND,Zunheboto,140757
264,NAGALAND,Wokha,166343
265,NAGALAND,Dimapur,378811
266,NAGALAND,Phek,163418
267,NAGALAND,Tuensang,196596
268,NAGALAND,Longleng,50484
269,NAGALAND,Kiphire,74004
270,NAGALAND,Kohima,267988
271,NAGALAND,Peren,95219
272,MANIPUR,Senapati,479148
273,MANIPUR,Tamenglong,140651
274,MANIPUR,Churachandpur,274143
275,MANIPUR,Bishnupur,237399
276,MANIPUR,Thoubal,422168
277,MANIPUR,Imphal West,517992
278,MANIPUR,Imphal East,456113
279,MANIPUR,Ukhrul,183998
280,MANIPUR,Chandel,144182
281,MIZORAM,Mamit,86364
282,MIZORAM,Kolasib,83955
283,MIZORAM,Aizawl,400309
284,MIZORAM,Champhai,125745
285,MIZORAM,Serchhip,64937
286,MIZORAM,Lunglei,161428
287,MIZORAM,Lawngtlai,117894
288,MIZORAM,Saiha,56574
289,TRIPURA,West Tripura,1725739
290,TRIPURA,South Tripura,876001
291,TRIPURA,Dhalai,378230
292,TRIPURA,North Tripura,693947
293,MEGHALAYA,West Garo Hills,643291
294,MEGHALAYA,East Garo Hills,317917
295,MEGHALAYA,South Garo Hills,142334
296,MEGHALAYA,West Khasi Hills,383461
297,MEGHALAYA,Ribhoi,258840
298,MEGHALAYA,East Khasi Hills,825922
299,MEGHALAYA,Jaintia Hills,395124
300,ASSAM,Kokrajhar,887142
301,ASSAM,Dhubri,1949258
302,ASSAM,Goalpara,1008183
303,ASSAM,Barpeta,1693622
304,ASSAM,Morigaon,957423
305,ASSAM,Nagaon,2823768
306,ASSAM,Sonitpur,1924110
307,ASSAM,Lakhimpur,1042137
308,ASSAM,Dhemaji,686133
309,ASSAM,Tinsukia,1327929
310,ASSAM,Dibrugarh,1326335
311,ASSAM,Sivasagar,1151050
312,ASSAM,Jorhat,1092256
313,ASSAM,Golaghat,1066888
314,ASSAM,Karbi Anglong,956313
315,ASSAM,Dima Hasao,214102
316,ASSAM,Cachar,1736617
317,ASSAM,Karimganj,1228686
318,ASSAM,Hailakandi,659296
319,ASSAM,Bongaigaon,738804
320,ASSAM,Chirang,482162
321,ASSAM,Kamrup,1517542
322,ASSAM,Kamrup Metropolitan,1253938
323,ASSAM,Nalbari,771639
324,ASSAM,Baksa,950075
325,ASSAM,Darrang,928500
326,ASSAM,Udalguri,831668
327,WEST BENGAL,Darjiling,1846823
328,WEST BENGAL,Jalpaiguri,3872846
329,WEST BENGAL,Koch Bihar,2819086
330,WEST BENGAL,Uttar Dinajpur,3007134
331,WEST BENGAL,Dakshin Dinajpur,1676276
332,WEST BENGAL,Maldah,3988845
333,WEST BENGAL,Murshidabad,7103807
334,WEST BENGAL,Birbhum,3502404
335,WEST BENGAL,Barddhaman,7717563
336,WEST BENGAL,Nadia,5167600
337,WEST BENGAL,North Twenty Four Parganas,10009781
338,WEST BENGAL,Hugli,5519145
339,WEST BENGAL,Bankura,3596674
340,WEST BENGAL,Puruliya,2930115
341,WEST BENGAL,Haora,4850029
342,WEST BENGAL,Kolkata,4496694
343,WEST BENGAL,South Twenty Four Parganas,8161961
344,WEST BENGAL,Paschim Medinipur,5913457
345,WEST BENGAL,Purba Medinipur,5095875
346,JHARKHAND,Garhwa,1322784
347,JHARKHAND,Chatra,1042886
348,JHARKHAND,Kodarma,716259
349,JHARKHAND,Giridih,2445474
350,JHARKHAND,Deoghar,1492073
351,JHARKHAND,Godda,1313551
352,JHARKHAND,Sahibganj,1150567
353,JHARKHAND,Pakur,900422
354,JHARKHAND,Dhanbad,2684487
355,JHARKHAND,Bokaro,2062330
356,JHARKHAND,Lohardaga,461790
357,JHARKHAND,Purbi Singhbhum,2293919
358,JHARKHAND,Palamu,1939869
359,JHARKHAND,Latehar,726978
360,JHARKHAND,Hazaribagh,1734495
361,JHARKHAND,Ramgarh,949443
362,JHARKHAND,Dumka,1321442
363,JHARKHAND,Jamtara,791042
364,JHARKHAND,Ranchi,2914253
365,JHARKHAND,Khunti,531885
366,JHARKHAND,Gumla,1025213
367,JHARKHAND,Simdega,599578
368,JHARKHAND,Pashchimi Singhbhum,1502338
369,JHARKHAND,Saraikela-Kharsawan,1065056
370,ORISSA,Bargarh,1481255
371,ORISSA,Jharsuguda,579505
372,ORISSA,Sambalpur,1041099
373,ORISSA,Debagarh,312520
374,ORISSA,Sundargarh,2093437
375,ORISSA,Kendujhar,1801733
376,ORISSA,Mayurbhanj,2519738
377,ORISSA,Baleshwar,2320529
378,ORISSA,Bhadrak,1506337
379,ORISSA,Kendrapara,1440361
380,ORISSA,Jagatsinghapur,1136971
381,ORISSA,Cuttack,2624470
382,ORISSA,Jajapur,1827192
383,ORISSA,Dhenkanal,1192811
384,ORISSA,Anugul,1273821
385,ORISSA,Nayagarh,962789
386,ORISSA,Khordha,2251673
387,ORISSA,Puri,1698730
388,ORISSA,Ganjam,3529031
389,ORISSA,Gajapati,577817
390,ORISSA,Kandhamal,733110
391,ORISSA,Baudh,441162
392,ORISSA,Subarnapur,610183
393,ORISSA,Balangir,1648997
394,ORISSA,Nuapada,610382
395,ORISSA,Kalahandi,1576869
396,ORISSA,Rayagada,967911
397,ORISSA,Nabarangapur,1220946
398,ORISSA,Koraput,1379647
399,ORISSA,Malkangiri,613192
400,CHHATTISGARH,Koriya,658917
401,CHHATTISGARH,Surguja,2359886
402,CHHATTISGARH,Jashpur,851669
403,CHHATTISGARH,Raigarh,1493984
404,CHHATTISGARH,Korba,1206640
405,CHHATTISGARH,Janjgir - Champa,1619707
406,CHHATTISGARH,Bilaspur,2663629
407,CHHATTISGARH,Kabeerdham,822526
408,CHHATTISGARH,Rajnandgaon,1537133
409,CHHATTISGARH,Durg,3343872
410,CHHATTISGARH,Raipur,4063872
411,CHHATTISGARH,Mahasamund,1032754
412,CHHATTISGARH,Dhamtari,799781
413,CHHATTISGARH,Uttar Bastar Kanker,748941
414,CHHATTISGARH,Bastar,1413199
415,CHHATTISGARH,Narayanpur,139820
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638
417,CHHATTISGARH,Bijapur,255230
418,MADHYA PRADESH,Sheopur,687861
419,MADHYA PRADESH,Morena,1965970
420,MADHYA PRADESH,Bhind,1703005
421,MADHYA PRADESH,Gwalior,2032036
422,MADHYA PRADESH,Datia,786754
423,MADHYA PRADESH,Shivpuri,1726050
424,MADHYA PRADESH,Tikamgarh,1445166
425,MADHYA PRADESH,Chhatarpur,1762375
426,MADHYA PRADESH,Panna,1016520
427,MADHYA PRADESH,Sagar,2378458
428,MADHYA PRADESH,Damoh,1264219
429,MADHYA PRADESH,Satna,2228935
430,MADHYA PRADESH,Rewa,2365106
431,MADHYA PRADESH,Umaria,644758
432,MADHYA PRADESH,Neemuch,826067
433,MADHYA PRADESH,Mandsaur,1340411
434,MADHYA PRADESH,Ratlam,1455069
435,MADHYA PRADESH,Ujjain,1986864
436,MADHYA PRADESH,Shajapur,1512681
437,MADHYA PRADESH,Dewas,1563715
438,MADHYA PRADESH,Dhar,2185793
439,MADHYA PRADESH,Indore,3276697
440,MADHYA PRADESH,Khargone (West Nimar),1873046
441,MADHYA PRADESH,Barwani,1385881
442,MADHYA PRADESH,Rajgarh,1545814
443,MADHYA PRADESH,Vidisha,1458875
444,MADHYA PRADESH,Bhopal,2371061
445,MADHYA PRADESH,Sehore,1311332
446,MADHYA PRADESH,Raisen,1331597
447,MADHYA PRADESH,Betul,1575362
448,MADHYA PRADESH,Harda,570465
449,MADHYA PRADESH,Hoshangabad,1241350
450,MADHYA PRADESH,Katni,1292042
451,MADHYA PRADESH,Jabalpur,2463289
452,MADHYA PRADESH,Narsimhapur,1091854
453,MADHYA PRADESH,Dindori,704524
454,MADHYA PRADESH,Mandla,1054905
455,MADHYA PRADESH,Chhindwara,2090922
456,MADHYA PRADESH,Seoni,1379131
457,MADHYA PRADESH,Balaghat,1701698
458,MADHYA PRADESH,Guna,1241519
459,MADHYA PRADESH,Ashoknagar,845071
460,MADHYA PRADESH,Shahdol,1066063
461,MADHYA PRADESH,Anuppur,749237
462,MADHYA PRADESH,Sidhi,1127033
463,MADHYA PRADESH,Singrauli,1178273
464,MADHYA PRADESH,Jhabua,1025048
465,MADHYA PRADESH,Alirajpur,728999
466,MADHYA PRADESH,Khandwa (East Nimar),1310061
467,MADHYA PRADESH,Burhanpur,757847
468,GUJARAT,Kachchh,2092371
469,GUJARAT,Banas Kantha,3120506
470,GUJARAT,Patan,1343734
471,GUJARAT,Mahesana,2035064
472,GUJARAT,Sabar Kantha,2428589
473,GUJARAT,Gandhinagar,1391753
474,GUJARAT,Ahmadabad,7214225
475,GUJARAT,Surendranagar,1756268
476,GUJARAT,Rajkot,3804558
477,GUJARAT,Jamnagar,2160119
478,GUJARAT,Porbandar,585449
479,GUJARAT,Junagadh,2743082
480,GUJARAT,Amreli,1514190
481,GUJARAT,Bhavnagar,2880365
482,GUJARAT,Anand,2092745
483,GUJARAT,Kheda,2299885
484,GUJARAT,Panch Mahals,2390776
485,GUJARAT,Dohad,2127086
486,GUJARAT,Vadodara,4165626
487,GUJARAT,Narmada,590297
488,GUJARAT,Bharuch,1551019
489,GUJARAT,The Dangs,228291
490,GUJARAT,Navsari,1329672
491,GUJARAT,Valsad,1705678
492,GUJARAT,Surat,6081322
493,GUJARAT,Tapi,807022
494,DAMAN AND DIU,Diu,52074
495,DAMAN AND DIU,Daman,191173
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709
497,MAHARASHTRA,Nandurbar,1648295
498,MAHARASHTRA,Dhule,2050862
499,MAHARASHTRA,Jalgaon,4229917
500,MAHARASHTRA,Buldana,2586258
501,MAHARASHTRA,Akola,1813906
502,MAHARASHTRA,Washim,1197160
503,MAHARASHTRA,Amravati,2888445
504,MAHARASHTRA,Wardha,1300774
505,MAHARASHTRA,Nagpur,4653570
506,MAHARASHTRA,Bhandara,1200334
507,MAHARASHTRA,Gondiya,1322507
508,MAHARASHTRA,Gadchiroli,1072942
509,MAHARASHTRA,Chandrapur,2204307
510,MAHARASHTRA,Yavatmal,2772348
511,MAHARASHTRA,Nanded,3361292
512,MAHARASHTRA,Hingoli,1177345
513,MAHARASHTRA,Parbhani,1836086
514,MAHARASHTRA,Jalna,1959046
515,MAHARASHTRA,Aurangabad,3701282
516,MAHARASHTRA,Nashik,6107187
517,MAHARASHTRA,Thane,11060148
518,MAHARASHTRA,Mumbai Suburban,9356962
519,MAHARASHTRA,Mumbai,3085411
520,MAHARASHTRA,Raigarh,2634200
521,MAHARASHTRA,Pune,9429408
522,MAHARASHTRA,Ahmadnagar,4543159
523,MAHARASHTRA,Bid,2585049
524,MAHARASHTRA,Latur,2454196
525,MAHARASHTRA,Osmanabad,1657576
526,MAHARASHTRA,Solapur,4317756
527,MAHARASHTRA,Satara,3003741
528,MAHARASHTRA,Ratnagiri,1615069
529,MAHARASHTRA,Sindhudurg,849651
530,MAHARASHTRA,Kolhapur,3876001
531,MAHARASHTRA,Sangli,2822143
532,ANDHRA PRADESH,Adilabad,2741239
533,ANDHRA PRADESH,Nizamabad,2551335
534,ANDHRA PRADESH,Karimnagar,3776269
535,ANDHRA PRADESH,Medak,3033288
536,ANDHRA PRADESH,Hyderabad,3943323
537,ANDHRA PRADESH,Rangareddy,5296741
538,ANDHRA PRADESH,Mahbubnagar,4053028
539,ANDHRA PRADESH,Nalgonda,3488809
540,ANDHRA PRADESH,Warangal,3512576
541,ANDHRA PRADESH,Khammam,2797370
542,ANDHRA PRADESH,Srikakulam,2703114
543,ANDHRA PRADESH,Vizianagaram,2344474
544,ANDHRA PRADESH,Visakhapatnam,4290589
545,ANDHRA PRADESH,East Godavari,5154296
546,ANDHRA PRADESH,West Godavari,3936966
547,ANDHRA PRADESH,Krishna,4517398
548,ANDHRA PRADESH,Guntur,4887813
549,ANDHRA PRADESH,Prakasam,3397448
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557
551,ANDHRA PRADESH,Y.S.R.,2882469
552,ANDHRA PRADESH,Kurnool,4053463
553,ANDHRA PRADESH,Anantapur,4081148
554,ANDHRA PRADESH,Chittoor,4174064
555,KARNATAKA,Belgaum,4779661
556,KARNATAKA,Bagalkot,1889752
557,KARNATAKA,Bijapur,2177331
558,KARNATAKA,Bidar,1703300
559,KARNATAKA,Raichur,1928812
560,KARNATAKA,Koppal,1389920
561,KARNATAKA,Gadag,1064570
562,KARNATAKA,Dharwad,1847023
563,KARNATAKA,Uttara Kannada,1437169
564,KARNATAKA,Haveri,1597668
565,KARNATAKA,Bellary,2452595
566,KARNATAKA,Chitradurga,1659456
567,KARNATAKA,Davanagere,1945497
568,KARNATAKA,Shimoga,1752753
569,KARNATAKA,Udupi,1177361
570,KARNATAKA,Chikmagalur,1137961
571,KARNATAKA,Tumkur,2678980
572,KARNATAKA,Bangalore,9621551
573,KARNATAKA,Mandya,1805769
574,KARNATAKA,Hassan,1776421
575,KARNATAKA,Dakshina Kannada,2089649
576,KARNATAKA,Kodagu,554519
577,KARNATAKA,Mysore,3001127
578,KARNATAKA,Chamarajanagar,1020791
579,KARNATAKA,Gulbarga,2566326
580,KARNATAKA,Yadgir,1174271
581,KARNATAKA,Kolar,1536401
582,KARNATAKA,Chikkaballapura,1255104
583,KARNATAKA,Bangalore Rural,990923
584,KARNATAKA,Ramanagara,1082636
585,GOA,North Goa,818008
586,GOA,South Goa,640537
587,LAKSHADWEEP,Lakshadweep,64473
588,KERALA,Kasaragod,1307375
589,KERALA,Kannur,2523003
590,KERALA,Wayanad,817420
591,KERALA,Kozhikode,3086293
592,KERALA,Malappuram,4112920
593,KERALA,Palakkad,2809934
594,KERALA,Thrissur,3121200
595,KERALA,Ernakulam,3282388
596,KERALA,Idukki,1108974
597,KERALA,Kottayam,1974551
598,KERALA,Alappuzha,2127789
599,KERALA,Pathanamthitta,1197412
600,KERALA,Kollam,2635375
601,KERALA,Thiruvananthapuram,3301427
602,TAMIL NADU,Thiruvallur,3728104
603,TAMIL NADU,Chennai,4646732
604,TAMIL NADU,Kancheepuram,3998252
605,TAMIL NADU,Vellore,3936331
606,TAMIL NADU,Tiruvannamalai,2464875
607,TAMIL NADU,Viluppuram,3458873
608,TAMIL NADU,Salem,3482056
609,TAMIL NADU,Namakkal,1726601
610,TAMIL NADU,Erode,2251744
611,TAMIL NADU,The Nilgiris,735394
612,TAMIL NADU,Dindigul,2159775
613,TAMIL NADU,Karur,1064493
614,TAMIL NADU,Tiruchirappalli,2722290
615,TAMIL NADU,Perambalur,565223
616,TAMIL NADU,Ariyalur,754894
617,TAMIL NADU,Cuddalore,2605914
618,TAMIL NADU,Nagapattinam,1616450
619,TAMIL NADU,Thiruvarur,1264277
620,TAMIL NADU,Thanjavur,2405890
621,TAMIL NADU,Pudukkottai,1618345
622,TAMIL NADU,Sivaganga,1339101
623,TAMIL NADU,Madurai,3038252
624,TAMIL NADU,Theni,1245899
625,TAMIL NADU,Virudhunagar,1942288
626,TAMIL NADU,Ramanathapuram,1353445
627,TAMIL NADU,Thoothukkudi,1750176
628,TAMIL NADU,Tirunelveli,3077233
629,TAMIL NADU,Kanniyakumari,1870374
630,TAMIL NADU,Dharmapuri,1506843
631,TAMIL NADU,Krishnagiri,1879809
632,TAMIL NADU,Coimbatore,3458045
633,TAMIL NADU,Tiruppur,2479052
634,PONDICHERRY,Yanam,55626
635,PONDICHERRY,PONDICHERRY,950289
636,PONDICHERRY,Mahe,41816
637,PONDICHERRY,Karaikal,200222
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142
